genome_id	dog	bin_idx	read_hits	sample_hits	samples	bin_start	bin_stop
G000154205	No	24	88	14	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	108553	113273
G000154205	Yes	24	51	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	108553	113273
G000154205	not provided	24	47	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	108553	113273
G000154205	No	25	74	14	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	113273	117993
G000154205	Yes	25	44	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	113273	117993
G000154205	not provided	25	47	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	113273	117993
G000154205	No	26	83	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	117993	122713
G000154205	Yes	26	58	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	117993	122713
G000154205	not provided	26	55	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	117993	122713
G000154205	No	27	37	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	122713	127432
G000154205	Yes	27	23	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101242,10317.000101404]	122713	127432
G000154205	not provided	27	18	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	122713	127432
G000154205	No	28	43	11	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101133,10317.000101198,10317.000101386,10317.000102791]	127432	132152
G000154205	Yes	28	29	8	[10317.000101074,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101404]	127432	132152
G000154205	not provided	28	21	6	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000102741]	127432	132152
G000154205	No	29	6	1	[10317.000100524]	132152	136872
G000154205	Yes	29	2	2	[10317.000101074,10317.000101114]	132152	136872
G000154205	not provided	29	2	1	[10317.000101212]	132152	136872
G000154205	No	30	7	1	[10317.000100524]	136872	141592
G000154205	not provided	30	3	3	[10317.000101211,10317.000101212,10317.000102741]	136872	141592
G000154205	No	31	65	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	141592	146311
G000154205	Yes	31	42	10	[10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	141592	146311
G000154205	not provided	31	38	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	141592	146311
G000154205	No	32	84	14	[10317.000035779,10317.000092644,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	146311	151031
G000154205	Yes	32	52	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	146311	151031
G000154205	not provided	32	56	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	146311	151031
G000154205	No	33	102	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	151031	155751
G000154205	Yes	33	56	9	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	151031	155751
G000154205	not provided	33	51	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	151031	155751
G000154205	No	34	90	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	155751	160471
G000154205	Yes	34	49	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	155751	160471
G000154205	not provided	34	52	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	155751	160471
G000154205	No	35	101	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	160471	165190
G000154205	Yes	35	56	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	160471	165190
G000154205	not provided	35	42	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	160471	165190
G000154205	No	36	98	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	165190	169910
G000154205	Yes	36	47	11	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101262,10317.000101404]	165190	169910
G000154205	not provided	36	55	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	165190	169910
G000154205	No	37	91	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	169910	174630
G000154205	Yes	37	51	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	169910	174630
G000154205	not provided	37	55	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	169910	174630
G000154205	No	38	59	15	[10317.000035779,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	174630	179350
G000154205	Yes	38	62	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	174630	179350
G000154205	not provided	38	27	10	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	174630	179350
G000154205	No	39	75	14	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000102791,10317.000103679]	179350	184069
G000154205	Yes	39	49	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	179350	184069
G000154205	not provided	39	36	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	179350	184069
G000154205	No	40	112	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	184069	188789
G000154205	Yes	40	57	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	184069	188789
G000154205	not provided	40	54	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	184069	188789
G000154205	No	41	95	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	188789	193509
G000154205	Yes	41	51	9	[10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	188789	193509
G000154205	not provided	41	44	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	188789	193509
G000154205	No	42	64	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	193509	198228
G000154205	Yes	42	36	9	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101145,10317.000101242,10317.000101404]	193509	198228
G000154205	not provided	42	36	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	193509	198228
G000154205	No	43	51	13	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000102791]	198228	202948
G000154205	Yes	43	25	6	[10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101145,10317.000101404]	198228	202948
G000154205	not provided	43	29	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	198228	202948
G000154205	No	44	99	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	202948	207668
G000154205	Yes	44	49	8	[10317.000101074,10317.000101076,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	202948	207668
G000154205	not provided	44	52	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	202948	207668
G000154205	No	45	102	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	207668	212388
G000154205	Yes	45	52	11	[10317.000098435,10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	207668	212388
G000154205	not provided	45	68	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	207668	212388
G000154205	No	46	97	14	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000102791,10317.000103679]	212388	217107
G000154205	Yes	46	63	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	212388	217107
G000154205	not provided	46	56	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	212388	217107
G000154205	No	47	92	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	217107	221827
G000154205	Yes	47	66	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	217107	221827
G000154205	not provided	47	61	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	217107	221827
G000154205	No	48	86	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	221827	226547
G000154205	Yes	48	61	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	221827	226547
G000154205	not provided	48	60	10	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	221827	226547
G000154205	No	49	96	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	226547	231267
G000154205	Yes	49	54	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	226547	231267
G000154205	not provided	49	48	8	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102741]	226547	231267
